Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.85121951,77.85121951
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.93554689,60.33553086
Puerto Rico,PRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.78831707,79.97363415
"Korea, Dem. People’s Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.685,71.887
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.12439024,81.12439024
Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.12,73.211
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.473,73.646
Pacific island small states,PSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.89857362,71.09601791
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.57004062,80.6329633
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.813,76.996
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.184,78.331
Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.3097561,75.3097561
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.65121951,72.11902439
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.129,67.496
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.6833715,68.92216194
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.561,74.72
Sudan,SDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.486,64.698
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.146,67.477
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.84634146,82.89512195
Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.726,71.006
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.835,52.214
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.512,73.75
San Marino,SMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,
Somalia,SOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.293,56.714
Serbia,SRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.68780488,76.08780488
Sub-Saharan Africa (excluding high income),SSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.38325412,60.80152984
South Sudan,SSD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.811,57.288
Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.38454359,60.80276179
